Author,Year,country,region,pmid,source_database,enrol_begin,enrol_end,FU_begin,FU_end,BC_stages,definitely_no_prevalent_cases,sample,percent_event,n_events,median_FU,PY_FU,ir_1000,ir_cilb,ir_ciub,how_calculated,comments,sample_size,mean_age,age_sd,age_percent_categories,age_comments,males,males_comments,postmenopause,postmenopause_comments,race_white,race_hispanic,race_black,race_asian,race_comments,history_ihd,history_ihd_comments,history_cardio,history_cardio_comments,history_diabetes,history_diabetes_comments,hypertension,hypertension_comments,smoking,smoking_comments,alcohol,alcohol_comments,dyslipidemia,dyslipidemia_comments,atrial_fibrillation,atrial_fibrillation_comments,prior_mi,prior_mi_comments,history_hf,history_hf_comments,history_stroke,history_stroke_comments,pad,pad_comments,vhd,vhd_comments,ckd,ckd_comments,Charlson_Comorbidity_Index,Charlson_Comorbidity_Index_comments,hormone_replacement,hormone_replacement_comments,bmi,bmi_sd,overweight,bmi_comments,stage_0,stage_1,stage_2,stage_3,stage_4,Local_Regional_distant,stage_comments,grade_1,grade_2,grade_3,grade_comments,estrogen_positive,progesteron_positive,her2_positive,triple_negative,hormone_positive,type_comments,node_negative,node_positive,node_comments,side_left,side_right,side_both,side_comments,size_less_2,size_2_5,size_more_5,size_comments,surgery_total,surgery_mastectomia,surgery_breast_conserving,surgery_ovary,surgery_lymph_node,surgery_comments,treatment_adjuvant,treatment_neoadjuvant,treatment_any_hormone,treatment_tamoxifen,treatment_other_aromatase_inhibitor,treatment_chemotherapy,treatment_antracycline,treatment_anti_her,treatment_trastuzumab,treatment_comment,radiation_percent,radiation_dose,radiation_moderate,radiation_technique,radiation_comments
Coates ,2007,multinational,multinational,17200148,BIG 1‑98 ,1998,2003,0,5,,0,4922,,54,4.25,20918.50,2.581447044,1.977093615,3.37053784,formula,unique database,4922,61,,,,0,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,97.4,61.4,,,100,,56.5,42,,,,,,,,,>2 =37.7,100,46.2,53.6,,,,,,100,50,50,25,,,,,68.5,,,,
Roca-Barceló,2019,Spain,Girona,30536209,Girona Cancer Registry,1994,2013,0,20,,,641,,12,8.4,5384.40,2.228660575,1.26566478,3.92436294,formula,unique database,641,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,,,8.9,15.1,16.1,,79.7,,,,,,,,,,,,,69.4,,,,100,15.6,84.4,,,,,,47.1,,,,,,,,51.7,,,,
Offersen ,2020,"Denmark, Germany, Norway",,32910709,DBCG HYPO trial,2009,2014,0,3.5,,,1854,,5,7.26,13460.04,0.3714699213,0.1546136227,0.892482176,formula,unique database,1854,59,,,,0,,,,,,,,,0,,0,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,85,,10,,,,,,,51,49,0,,,,,,100,,,,,,,,,5,,43,,,,,100,,,,
Abdel-Qadir,2017,Canada,Ontario,27732702,Ontario Cancer Registry,1998,2012,0,15,,,98999,,3444,6.6,653393.40,5.270943967,5.097810617,5.449957324,formula,Ontario Registry with the largest PY FU,98999,61,14,,,0,,56.8,,,,,,,,,,,13.3,,43,,,,,,,,,,1.7,,4.5,,1.4,,1.3,,0.79,,2.2,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,50.7,,,,,,,,,,,,,,,,,,,45.1,,,7.9,,46.1,,,,
Chang,2017,Korea,single-center,28717853,Yonsei Cancer Center Registry,1990,2012,0,23,,0,24235,,9,7.9,191456.50,0.04700806711,0.02445869788,0.09034652555,formula,unique database,26812,48.2,9.1,,,0,,,,,,,100,,,,,,5.7,,17.5,,,,,,,,,,2.8,,,,,,,,,,,,,,8,,,,3.7,,,,,,,,,,,,,,,,,,,74.5,,,,,0,,,,,,100,0,100,,,,,,67.9,,,65.2,42.9,,,,100,,,,
Troeschel,2019,USA,nationwide,31155644,SEER,1990,2014,0,25,,,407587,,34579,6.67,3323303.00,10.40500971,10.29591453,10.51526087,formula,SEER database with the largest PY FU,407587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local/Regional/distant 64/24.2/11.8,17.6,36.3,46.1,,,,,,71.8,,,,,,,,,,,,,93,,,,,,,,,,,34.3,,,,,46.9,,,,
Simon,2018,USA,40 centers,29338086,Women’s Health Initiative,1993,2015,0,23,,,8641,,459,11.3,97643.30,4.700783361,4.289817546,5.151119826,formula,WHI study with the largest PY FU,8641,,,,,0,,100,,88,,6,,,,,,,5,,40,,51,,90,,13,,,,,,,,,,,,,,,,,,,,,,31,,0,,,,0,,,26,42,24,,,,11,,80,,,22,,,,,,73,,,27 >2 cm,,,,,,,,,61,,,,,,,,,,,,
James ,2018,New Zealand,Christchurch region,29436171, Christchurch Public Hospital,2002,2006,0,11,,,501,,5,10.33,5638.42,0.8867737692,0.3690939619,2.130535308,formula,unique database,501,55.5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,58.3,40,,49.5,50.1,,,62.5,30.7,5.4,,100,25,75,,,,,,,,,38.3,,,,,100,,,,
Killander,2020,Sweden,,32302682,SweBCGRT trial,1991,1997,0,22,,,1187,,193,21.3,25283.10,7.633557594,6.62910706,8.79020372,formula,unique database,1187,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,58.5,,,,,,,,,,,,,100,,100,,,,,,,,,1,,,,,54.3,,,,
Obi,2018,Germany,"Hamburg, Rhine-Neckar-Karlsruhe",29248876,MARIE study,2001,2005,0,13,,,2951,,57,11.9,35116.90,1.623150107,1.252022733,2.104287887,formula,unique database,2951,62.4,5.9,,,0,,,,,,,,,,,18.9,,8.6,,41,,47.4,,78,,,,,,,,,,,,,,,,,,,,64,,,,3,,0,,,,0,,,20.2,53.7,26.1,,,,18.4,,83,,68.1,31.9,,49.2,47.5,3.3,,58.8,35.8,3.3,,100,27.6,72.4,,,,,0,,,,,,,,,82.6,,,,
Grellier ,2016,France,Paris,28586961,Grellier ,2007,2011,0,8,,,796,,1,5.1,4059.60,0.2463296877,0.03469761083,1.748775019,formula,unique database,796,53.2,,,Median age was 53.2 years,0,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36.3,51.2,11.2,1.2,,,5.7,44.3,50,,,,18.8,10.1,,,,,,48.6,51.4,0,,,,,,100,100,,,,,,24.6,79.4,32.2,32.4,84.7,,,,"""Chemotherapy was administered to 84.7% of patients, as neoadjuvant therapy in 24.6% of
cases."" ................................. until ""(n=147)""
I was not sure how to extract these numbers",100,,,"The chest
wall and IMC volumes were included into one unique electron beam at a gantry angle of 20 to 30
degrees from the vertical",". The average dose on
the chest wall was 49.4 Gy (48-54 Gy), delivered in fractions of 2 Gy"
de Azambuja,2020,multinational,multinational,31605311," HERA, NSBAP B-31, and NCCTG 9831trials",,,0,12,,1,4017,,7,11,44187.00,0.1584176341,0.07552203234,0.3323023233,formula,HERA and other trials with the largest PY FU,4017,,,"<35 y (7%), 35-39 y(10%), 40-49 y (34%), 50-54 y (41%), >65 y(8%)",mean age N/A,0,,,N/A,83.6,,,,,,N/A,,N/A,2,,18.3,,9.1,,,N/A,,N/A,,N/A,,N/A,0,,,N/A,,N/A,,N/A,,N/A,,N/A,0,,,,,25% of patients were > 25 BMI in trastuzumab arm (2338/3750),,,,,,,N/A,1.7,23.1,46.6,,,,100,,,,16.3,78.7,,,,,,32.3,52.7,9.6,,100,,,,,,99.8,,,,,99.8,97.1,54,54,all anti-HER2 therapy agents were trastuzumab,,,,,only trastuzumab arm stated (33%)
Eiger,2020,multinational,multinational,32203207,ALTTO trial ,2007,2011,0,7,,1,4190,,4,6.9,28911.00,0.1383556432,0.05192640847,0.3686425571,formula,unique database,4190,,,"< 65 yo 90%, ≥65 yo 10%",,0,,57,,69,,1.5,26,NA,0,,,NA,5.5,,21.5,,,NA,,NA,8.5,,0,,0,,0,,,NA,,NA,,NA,,NA,,NA,,NA,,,20.5,,,,,0,,,,2,35.9,57.5,,,,100,,57,,40,52,,51.5,48.5,,,33.5,50,7,,100,56,44,,,,100,,,,,100,95,100,100,,71,,,,
Merzenich,2016,Germany,Mainz and Ulm ,27804053,PASSOS-Heart Study ,1998,2008,0,14,,,11982,,335,6.5,77883.00,4.301323781,3.864516556,4.787503429,formula,unique database,11982,59.2,13.5,,calculated with formula,0,excluded,,NA,100,,,,all German patients,,NA,9.2,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,7.7,49.9,32.2,3.8,4.4,,others unknown,,,,N/A,,,,,,N/A,57,35,others unknown,,,,N/A,,,,N/A,98.8,28.8,70,,,0.09 no surgery,,,,,,42.7,,,,,75.6,,,3D conformal radiotherapy,
Martin,2013,Spain, 67 Spanish institutions,23733779," GEICAM/2003-02 Study",2003,2008,0,10,,1,1925,,8,5.28,10164.00,0.7870916962,0.3936176905,1.573896075,formula,unique database,1925,50,,,,0,,50.4,,,,,,,0,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,0,,,,0,,,6.5,45.7,44.1,,,,9.4,23,73,,100,0,,,,0,,58.5,40.1,1.4,,100,27.3,72.7,,,,100,,,52.5,20.2,100,100,0,0,,,,,,
Goss,2013,multinational,multinational,23358971,NCIC Clinical Trials Group MA.27trial,2003,2008,0,6,,,7576,,66,4.1,31061.60,2.124810055,1.669331238,2.704566754,formula,unique database,7576,64.1,,,,0,,100,,94.5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,99,80,,,100,,71,29,,,,,,72,25.5,2.8,,100,32,68,,,,31,,100,,100,31,,4,4,,,,,,
Ejlertsen ,2007,"Denmark, Sweden, Iceland",,17306974,DBCG trial 89D,1990,1998,0,15,,,1224,,7,10,12240.00,0.5718954248,0.2726382388,1.199627677,formula,unique database,1224,,,,,0,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,6.5,45.5,39,,18,11,,,,,29,71,,,,,,43.5,48.5,6.5,,100,76.5,23.5,,,,100,,,,,100,48.6,,,,49,,,,
Wang ,2021,China, Affiliated Hospital of Nanhua University ,34456577, Affiliated Hospital of Nanhua University ,2015,2016,0,3.5,,0,316,,2,3,948.00,2.109704641,0.527618743,8.435738368,formula,unique database,316,64.7,,,,,,,,,,,,,17.7,,,,31.9,,69.9,,21,,32,,,,,,,,,,16.5,,,,,,,,,,,,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,,,,100,,,,,100,,,,
Wildiers ,2018,multinational,multinational,29433963,EORTC 75111-10114,2013,2016,0,3,,1,80,,3,1.725,138.00,21.73913043,7.011189374,67.40508162,formula,unique database,80,76.8,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,0,,,,,,0,,,,,,,,,,,,0,0,0,0,100,,,,,,,,,100,,68.5,,,,,,,,,,,,,51.9,,,,,,,,,,,,,100,100,,,,,,
Delaloge ,2020,multinational,multinational,32083990,MINDACT trial ,2007,2011,0,6,,,1301,,3,5,6505.00,0.4611837048,0.1487385294,1.429961762,formula,unique database,1301,,,,,0,,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,4.6,39.1,55.9,,74.7,63.3,9.1,,,,69.9,30.1,,,,,,55.7,42.4,1.9,,100,20.7,79.3,,,,100,,,,,100,50,,,,,,,,
Tao ,2020,USA,nationwide,32132977,National Health Interview Survey ,1997,2013,0,18,,,6330,,79,13,82290.00,0.9600194434,0.7700352625,1.196876788,formula,unique natiowide database,6330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagani,2004,multinational,multinational,15550579,"International Breast Cancer Study Group",1993,2000,0,7,,0,1035,,11,5.5,5692.50,1.93236715,1.070133619,3.489323888,formula,unique database,1035,,,,,0,,100,all patients are post- and perimenopausal patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,12,46,42,,73,,,,100,,0,100,,,,0,,,,,,100,55,45,,,,,,100,,,86.1,86.1,,,"81%
received prior adjuvant chemotherapy",,,,,
McCullough ,2016,USA,nationwide,27644127,CPS-II Nutrition Cohort,1992,1993,0,18,,,4452,,129,9.8,43629.60,2.95670829,2.488072235,3.513613387,formula,unique CPS-II cohort,4452,70.7,,,,0,,,,97.7,,,,,,,,,,,,,44.9,,,,,,,,,,,,,,,,,,,,,,61.1,,,,17.5,,,,,,,,,22.6,39,23.7,,79.5,57.2,,,,,,,,,,,,,,,,86.1,,,,,,,,,,,22.9,,,,,56,,,,
Kensler ,2019,USA,multicenter,30604001,The Nurses’ Health Study ,1992,2004,0,23,,,2073,,71,12.9,26741.70,2.655029411,2.104013113,3.350350399,formula,Unique The Nurses’ Health Study ,2073,,,,,0,,,,,,,,,,,,,,,,,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,,18.5,53.5,22.4,5.5,0,,,20.6,37,15.4,,73.1,,17.1,,,,,,,,,,,,,,,77,35,42,,,,,,65,,,28.2,,,,,51.9,,,,
Paterson,2022,Canada,Alberta,35492824,Alberta Health Registry,2007,2018,0,11,,0,29407,,647,11.8,347002.60,1.864539344,1.726262161,2.013892815,formula,unique database,29407,,,,SAMPLE CHARACTERISTICS WERE NOT REPORTED FOR BC PATIENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,34.6,29.3,9.4,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheng,2022,USA,"Hawaii, California",35063793,Multiethnic Cohort Study,1993,2013,0,20,,,3089,,272,8.1,25020.90,10.87091192,9.65280102,12.24273925,formula,Unique Multiethnic Cohort Study,3089,,,,,0,,,,18.6,31,38.1,12,,9.7,,,,11,,36.8,,44.2,,40,,,,,,,,,,,,,,,,,,,,,,,,29.6,,,,,,,,67/28.0/3.4,19.8,38.3,31.9,,66.5,57.1,,,,,,,,,,,,16.5,69.2,8.6,,94,54.4,26.6,,,,,,34.3,,,24.6,,,,,38.9,,,,
